,danceability,energy,loudness,acousticness,instrumentalness,valence,tempo,genre,like
0,3,4,4,0,1,1,191.977,4,1
0,1,2,3,0,0,2,98.096,6,1
0,3,3,4,0,0,1,112.991,5,1
0,3,2,2,4,1,1,113.521,11,1
0,4,2,3,2,1,3,140.026,10,1
0,0,1,3,3,0,0,123.924,6,1
0,3,2,2,0,1,4,89.761,8,1
0,2,1,3,2,1,3,142.213,10,1
0,3,2,3,1,0,1,94.254,10,1
0,3,0,0,4,0,0,102.778,10,1
0,2,4,4,0,1,4,128.986,10,1
0,4,3,4,0,0,4,116.0,11,1
0,2,2,4,0,0,2,95.189,5,1
0,3,4,3,0,1,3,126.312,11,1
0,2,1,3,3,0,1,70.024,11,1
0,1,2,3,0,0,1,93.919,4,1
0,3,2,2,3,1,3,87.046,8,1
0,2,4,4,0,0,3,163.967,9,1
0,3,3,4,2,0,2,104.904,5,1
0,2,3,4,2,0,2,101.876,10,1
0,2,4,4,0,0,3,164.103,9,1
0,3,0,1,4,1,4,90.326,10,1
0,2,3,3,0,1,4,152.726,10,1
0,3,4,4,1,0,3,102.098,10,1
0,3,1,3,3,0,2,80.935,9,1
0,2,2,2,1,0,3,83.506,8,1
0,3,0,1,4,1,3,99.784,10,1
0,2,1,3,2,0,2,103.379,10,1
0,1,1,2,3,0,0,144.799,6,1
0,3,4,3,0,1,4,110.048,10,1
0,3,3,4,0,1,3,75.625,10,1
0,2,3,4,2,1,2,115.027,5,1
0,3,2,3,2,0,4,77.1,9,1
0,2,4,4,4,0,2,103.963,5,1
0,0,2,2,4,1,0,137.038,6,1
0,3,0,2,4,0,0,115.904,11,1
0,2,1,3,2,0,1,127.3,6,1
0,2,2,2,3,0,2,107.248,10,1
0,2,1,2,4,1,0,98.138,10,1
0,3,2,3,4,0,3,94.994,10,1
0,2,4,4,0,0,1,122.994,5,1
0,3,3,3,0,0,2,110.035,10,1
0,1,3,4,0,0,2,90.315,9,1
0,3,1,3,2,0,1,93.335,10,1
0,2,3,4,0,0,4,87.729,9,1
0,4,0,3,2,0,1,86.05,10,1
0,4,1,1,0,0,4,95.229,10,1
0,2,2,3,3,0,2,129.341,10,1
0,4,2,3,0,0,4,95.306,10,1
0,0,1,3,3,0,0,72.64,6,1
0,3,1,2,3,0,4,147.002,8,1
0,3,3,4,3,0,1,97.221,8,1
0,3,3,3,2,0,3,91.011,11,1
0,2,2,3,0,0,1,138.65,6,1
0,3,3,4,2,0,2,96.968,10,1
0,2,4,4,0,0,4,171.379,6,1
0,3,4,4,0,0,3,165.229,6,1
0,2,1,3,2,0,1,127.3,6,1
0,3,1,3,2,0,2,92.007,10,1
0,3,1,3,4,0,2,86.883,9,1
0,4,2,3,0,0,3,91.088,8,1
0,1,3,4,1,1,1,162.411,10,1
0,3,3,3,0,1,3,94.986,10,1
0,2,2,2,2,1,2,90.556,10,1
0,3,2,4,3,0,1,84.987,8,1
0,3,3,4,0,0,3,93.997,10,1
0,4,2,3,0,1,3,132.077,10,1
0,1,1,2,4,0,2,76.632,10,1
0,4,2,3,0,0,3,97.973,7,1
0,3,3,3,1,0,4,132.745,6,1
0,3,3,3,1,0,3,108.981,8,1
0,4,4,3,0,1,4,130.204,5,1
0,2,0,2,4,1,1,109.355,10,1
0,1,1,2,4,1,0,132.413,6,1
0,4,1,3,2,1,3,102.277,6,1
0,2,2,3,0,1,2,110.259,6,1
0,3,1,3,4,0,4,75.908,10,1
0,2,1,3,3,0,0,102.488,11,1
0,4,2,3,1,0,1,126.004,6,1
0,3,3,4,0,0,2,104.724,6,1
0,2,2,3,3,0,3,89.083,10,1
0,2,2,2,0,0,3,133.509,10,1
0,2,4,3,0,0,3,93.618,10,1
0,3,4,3,0,1,4,101.06,10,1
0,1,0,1,3,1,0,74.253,10,1
0,4,1,2,3,0,1,91.192,10,1
0,3,2,3,2,0,2,85.331,11,1
0,1,1,2,4,0,0,102.898,10,1
0,3,1,2,4,0,3,136.026,8,1
0,2,2,3,0,0,3,137.778,8,1
0,2,2,3,1,1,1,91.13,10,1
0,2,4,3,0,1,2,101.063,4,1
0,3,1,3,2,1,2,179.908,8,1
0,3,2,3,1,1,4,148.224,8,1
0,1,3,4,0,0,0,79.275,4,1
0,3,1,2,0,0,2,126.993,8,1
0,1,0,0,4,1,0,58.801,10,1
0,3,1,2,0,1,4,134.165,10,1
0,2,1,2,3,0,1,147.619,10,1
0,3,2,3,0,1,3,103.032,10,1
0,3,0,2,2,1,2,80.023,11,1
0,3,4,4,0,0,1,96.983,4,1
0,3,3,3,1,1,4,163.936,7,1
0,2,4,3,0,1,4,95.792,10,1
0,3,2,3,0,0,3,92.603,8,1
0,3,4,4,0,0,3,106.688,8,1
0,3,3,3,0,0,3,133.793,6,1
0,1,1,3,2,0,0,176.526,6,1
0,3,4,4,0,1,4,115.991,4,1
0,2,2,3,4,0,4,128.925,10,1
0,1,0,2,4,0,1,86.669,10,1
0,4,3,3,0,0,4,102.015,11,1
0,4,4,3,1,1,3,114.981,7,1
0,1,2,2,1,1,0,102.361,9,1
0,3,3,3,3,0,2,127.359,10,1
0,2,3,4,0,0,2,140.082,11,1
0,2,3,3,0,0,2,89.224,10,1
0,2,1,2,3,1,3,91.994,10,1
0,4,3,3,1,0,4,126.624,8,1
0,2,0,1,4,0,2,137.101,10,1
0,2,4,3,0,1,4,101.903,10,1
0,2,3,4,0,0,2,82.457,10,1
0,2,4,4,2,1,4,117.85,10,1
0,1,3,3,3,0,3,92.481,10,1
0,1,2,3,0,0,2,184.679,10,1
0,2,2,2,1,1,2,116.322,10,1
0,3,0,1,4,1,4,90.326,10,1
0,2,2,2,0,1,0,97.096,6,1
0,2,3,4,0,0,4,53.896,8,1
0,2,1,2,2,0,3,98.367,10,1
0,3,2,4,2,0,2,81.979,8,1
0,3,3,4,0,0,1,106.665,6,1
0,1,2,3,2,0,1,135.055,10,1
0,4,1,1,0,0,1,110.053,10,1
0,2,2,3,2,0,1,132.023,11,1
0,3,1,2,1,0,0,144.492,9,1
0,1,3,3,0,0,1,76.859,9,1
0,1,4,4,0,0,2,94.824,6,1
0,3,2,3,0,1,4,164.134,10,1
0,2,4,4,0,0,2,89.825,5,1
0,3,3,4,0,1,0,95.968,4,1
0,4,2,4,2,0,2,96.612,10,1
0,2,0,2,3,0,1,93.216,10,1
0,2,0,2,4,0,0,115.909,11,1
0,3,3,2,3,1,4,105.681,10,1
0,2,2,3,1,0,1,121.965,10,1
0,3,1,2,4,1,2,82.033,10,1
0,2,3,2,0,1,2,128.931,10,1
0,4,3,4,1,0,3,87.105,11,1
0,3,2,3,1,1,0,102.006,5,1
0,1,3,4,1,0,0,131.966,9,1
0,2,2,2,3,1,1,105.01,9,1
0,3,2,3,0,1,3,130.051,5,1
0,1,3,3,0,0,2,150.149,10,1
0,4,2,3,0,1,3,109.037,8,1
0,3,3,4,0,0,4,82.488,11,1
0,1,4,3,3,0,3,87.274,10,1
0,2,2,3,0,1,1,138.522,8,1
0,2,3,3,0,0,2,87.304,11,1
0,2,2,3,0,1,2,157.445,10,1
0,2,3,4,0,0,2,97.501,8,1
0,2,2,4,0,0,4,171.259,6,1
0,2,2,3,1,1,2,133.983,10,1
0,2,2,3,3,0,2,82.932,6,1
0,1,3,3,0,0,1,116.859,6,1
0,4,1,3,0,0,2,77.015,5,1
0,2,3,3,1,1,3,82.006,10,1
0,2,3,3,2,0,2,78.244,8,1
0,2,3,3,1,0,0,93.703,8,1
0,3,2,3,2,0,2,80.958,5,1
0,3,3,3,3,0,4,112.931,10,1
0,2,2,3,4,1,2,95.77,10,1
0,3,4,4,0,0,4,113.249,11,1
0,3,1,3,0,0,1,81.353,10,1
0,1,1,2,4,1,0,83.055,10,1
0,2,3,3,0,1,3,114.277,10,1
0,3,3,3,3,0,2,91.043,8,1
0,2,3,4,1,0,2,134.78,9,1
0,4,2,3,3,1,3,97.376,10,1
0,2,2,3,0,0,2,83.892,9,1
0,4,3,4,0,0,4,120.075,4,1
0,1,3,4,1,0,0,139.928,9,1
0,2,4,4,0,0,4,122.458,6,1
0,1,2,3,1,0,0,138.308,6,1
0,3,2,3,1,0,4,105.041,10,1
0,1,2,3,0,1,2,102.246,10,1
0,0,2,3,3,1,2,172.619,10,1
0,3,4,4,0,1,4,103.987,10,1
0,2,1,2,4,1,0,179.956,11,1
0,2,1,2,1,0,3,195.873,10,1
0,4,3,4,0,0,4,129.021,11,1
0,3,2,3,2,0,2,84.839,10,1
0,2,2,4,1,0,2,183.671,8,1
0,2,1,2,3,1,2,148.198,10,1
0,3,3,3,0,1,3,107.303,10,1
0,2,4,4,0,0,3,86.621,11,1
0,4,3,2,1,0,4,105.822,6,1
0,4,2,2,2,0,0,99.978,8,1
0,3,1,2,2,0,2,96.247,10,1
0,1,3,4,1,0,1,109.873,5,1
0,2,2,2,1,1,4,137.198,10,1
0,4,2,3,0,0,3,90.487,9,1
0,2,1,2,4,1,1,109.837,10,1
0,4,3,4,2,0,3,96.684,10,1
0,2,2,3,1,1,1,110.552,5,1
0,2,1,3,2,0,2,120.175,11,1
0,2,3,3,2,0,1,175.39,9,1
0,1,2,3,2,0,2,84.01,10,1
0,1,1,2,1,0,0,172.266,8,1
0,2,2,3,2,0,2,110.951,10,1
0,2,1,2,2,0,0,109.959,10,1
0,2,0,0,3,1,0,140.844,10,1
0,1,3,3,0,1,3,118.865,10,1
0,3,3,3,2,0,3,117.171,9,1
0,2,0,2,3,1,3,85.41,10,1
0,2,0,0,4,1,0,64.811,10,1
0,2,2,3,1,0,2,92.9,9,1
0,3,3,4,1,0,3,77.055,5,1
0,4,2,3,1,0,4,104.034,10,1
0,3,3,3,2,0,3,96.064,7,1
0,2,0,1,4,0,0,124.925,10,1
0,3,4,4,0,0,2,105.245,10,1
0,1,0,2,4,1,0,70.628,10,1
0,4,3,4,0,0,1,101.985,11,1
0,3,3,4,1,0,4,97.674,10,1
0,3,3,3,0,1,2,95.097,10,1
0,3,2,3,2,0,2,83.077,8,1
0,1,2,3,1,1,1,80.044,10,1
0,3,2,3,0,0,0,135.988,11,1
0,1,2,1,1,1,3,134.747,10,1
0,4,1,3,3,1,2,165.99,11,1
0,3,2,3,0,0,2,96.47,8,1
0,1,2,3,1,1,1,84.56,5,1
0,3,3,4,0,0,3,101.003,11,1
0,3,3,3,2,1,1,178.093,10,1
0,2,2,3,1,0,2,71.826,9,1
0,0,1,3,4,0,0,168.267,4,1
0,1,1,3,3,0,0,143.446,11,1
0,1,3,4,0,0,1,148.198,9,1
0,3,2,3,1,1,3,145.99,10,1
0,4,3,3,0,0,2,75.451,9,1
0,3,3,3,0,1,3,117.016,10,1
0,4,2,3,0,0,3,91.212,8,1
0,3,2,3,3,0,3,143.473,10,1
0,1,4,3,0,1,2,144.786,10,1
0,4,2,3,3,0,4,141.85,9,1
0,3,1,2,3,1,0,87.181,10,1
0,2,2,2,2,1,2,124.516,10,1
0,3,2,3,1,0,1,89.965,10,1
0,4,2,3,0,0,1,91.757,9,1
0,2,2,2,3,1,3,92.037,10,1
0,3,3,3,1,1,4,116.37,7,1
0,2,3,4,0,0,4,174.992,5,1
0,3,2,2,2,0,1,97.941,6,1
0,2,1,2,3,0,1,104.522,6,1
0,3,4,3,2,0,4,140.732,6,1
0,2,2,3,1,0,2,127.972,4,1
0,2,3,3,0,0,2,83.317,10,1
0,1,2,3,2,0,2,102.372,10,1
0,3,3,4,0,0,4,109.98,6,1
0,4,2,4,0,0,3,96.506,8,1
0,3,3,3,2,1,3,81.5,10,1
0,3,3,4,2,0,3,102.052,11,1
0,3,3,4,2,1,2,100.091,10,1
0,3,3,4,0,1,3,85.786,4,1
0,1,2,3,2,1,1,117.908,6,1
0,0,2,2,4,0,1,76.257,10,1
0,3,1,3,1,1,2,97.423,10,1
0,2,2,3,1,1,4,113.857,10,1
0,0,1,2,4,1,1,147.812,10,1
0,2,3,3,0,1,2,131.796,10,1
0,1,3,3,1,0,3,129.493,10,1
0,2,4,4,0,0,2,104.85,6,1
0,3,3,3,0,1,4,88.53,4,1
0,1,1,2,1,1,1,74.29,10,1
0,2,2,2,2,0,0,107.794,10,1
0,3,1,3,2,0,1,120.235,10,1
0,2,3,3,1,0,2,98.686,10,1
0,2,4,3,0,0,4,94.458,6,1
0,1,2,2,2,1,2,110.487,9,1
0,1,2,3,1,0,0,138.308,6,1
0,2,2,3,0,0,3,163.15,9,1
0,4,2,3,0,1,2,96.099,10,1
0,2,1,2,2,0,1,110.311,9,1
0,2,2,3,1,0,1,112.036,11,1
0,0,4,4,0,0,0,83.354,6,1
0,2,2,3,2,0,1,99.034,9,1
0,1,2,3,0,1,2,162.674,10,1
0,1,2,3,2,0,3,106.13,10,1
0,1,4,4,0,0,0,176.842,6,1
0,1,3,3,4,0,1,77.769,9,1
0,2,3,4,1,0,3,159.871,11,1
0,3,3,4,1,0,1,178.929,11,1
0,3,2,3,0,1,3,130.083,10,1
0,2,2,3,0,0,1,128.017,6,1
0,1,3,3,0,1,1,83.177,10,1
0,4,3,3,2,0,3,88.025,10,1
0,1,3,3,2,1,2,165.646,10,1
0,3,1,2,0,0,2,92.051,10,1
0,2,4,3,0,1,1,123.984,6,1
0,3,3,4,0,0,4,125.952,11,0
0,2,2,3,0,0,2,97.008,11,0
0,3,4,4,0,0,2,100.005,11,0
0,2,2,2,0,0,0,128.012,5,0
0,2,4,4,0,0,1,128.04,11,0
0,2,4,3,0,0,2,113.011,11,0
0,4,2,3,0,0,2,135.043,11,0
0,2,2,3,0,0,2,127.001,3,0
0,2,3,3,0,0,2,114.926,11,0
0,3,3,4,0,0,2,143.043,11,0
0,1,3,4,1,0,2,203.256,5,0
0,3,2,2,1,0,2,140.092,5,0
0,3,0,0,2,1,0,119.066,2,0
0,3,4,4,0,1,0,130.02,4,0
0,3,3,3,0,0,3,138.992,11,0
0,1,2,2,0,0,0,101.793,2,0
0,3,3,3,0,0,3,133.956,11,0
0,3,3,3,0,0,3,122.023,11,0
0,3,4,4,0,0,1,128.064,2,0
0,3,4,4,0,0,1,115.849,11,0
0,4,1,2,2,0,2,102.937,11,0
0,2,3,3,0,0,2,88.993,11,0
0,2,4,4,1,0,3,159.98,2,0
0,2,3,3,1,0,0,164.231,2,0
0,3,3,3,2,0,3,111.038,11,0
0,2,4,4,0,0,3,123.967,11,0
0,2,3,3,0,0,3,160.743,11,0
0,2,2,1,2,0,0,132.052,11,0
0,3,3,4,1,0,3,101.982,11,0
0,2,4,4,0,0,1,125.982,11,0
0,3,3,3,0,0,0,112.997,11,0
0,3,3,3,0,0,2,79.92,11,0
0,2,2,2,0,0,2,153.15,11,0
0,1,3,3,0,0,1,107.588,11,0
0,2,3,2,0,0,1,134.898,5,0
0,3,3,3,0,0,2,119.978,11,0
0,2,3,3,0,0,2,111.763,11,0
0,3,1,2,0,0,2,97.963,11,0
0,3,3,4,0,0,4,112.972,11,0
0,2,3,3,1,0,2,95.027,11,0
0,3,3,3,0,0,4,139.994,6,0
0,2,2,3,0,0,2,97.008,11,0
0,4,2,4,1,0,2,102.048,2,0
0,3,3,3,0,0,1,95.95,11,0
0,2,2,3,0,0,2,120.388,2,0
0,4,2,1,1,0,2,99.011,11,0
0,4,2,3,0,0,0,133.854,11,0
0,4,1,3,2,0,2,136.111,11,0
0,2,4,4,0,0,2,93.994,11,0
0,0,3,2,0,0,2,173.702,5,0
0,4,2,4,1,0,4,144.981,11,0
0,3,4,4,0,0,2,96.001,2,0
0,4,3,3,0,0,1,128.022,4,0
0,2,2,3,2,0,2,130.077,11,0
0,3,3,2,0,0,2,136.07,2,0
0,3,1,2,0,0,1,131.121,11,0
0,2,2,2,0,0,0,120.122,11,0
0,1,4,4,0,0,1,106.581,3,0
0,3,3,3,2,0,1,149.959,11,0
0,2,2,2,0,0,2,124.114,3,0
0,2,3,3,1,0,1,125.975,11,0
0,2,3,4,0,0,2,130.066,2,0
0,3,4,3,1,0,3,119.706,1,0
0,3,4,3,2,0,2,124.948,11,0
0,2,2,1,1,0,3,172.307,11,0
0,3,4,4,0,0,3,128.04,11,0
0,3,4,3,0,0,4,98.015,11,0
0,3,2,3,1,0,2,129.904,11,0
0,3,4,4,0,0,2,93.068,2,0
0,2,4,4,0,0,2,130.061,11,0
0,3,3,3,0,0,2,120.121,11,0
0,2,3,3,0,0,0,106.672,2,0
0,2,3,3,0,0,2,123.854,3,0
0,3,4,4,0,0,3,123.615,11,0
0,2,2,1,2,0,0,132.052,11,0
0,2,3,2,1,0,2,135.952,11,0
0,3,2,2,2,0,1,120.966,3,0
0,3,3,3,1,0,1,134.104,11,0
0,3,4,3,0,0,1,108.882,5,0
0,3,2,3,1,0,4,126.064,11,0
0,3,2,3,1,0,2,130.092,11,0
0,2,4,4,0,0,0,138.009,3,0
0,1,0,1,4,0,3,114.225,11,0
0,2,3,1,0,0,1,149.978,2,0
0,3,4,3,0,0,2,101.216,3,0
0,3,2,1,2,0,1,113.981,11,0
0,2,3,3,1,0,3,173.93,11,0
0,1,3,4,0,0,0,122.395,11,0
0,3,3,3,0,0,4,136.207,11,0
0,3,3,3,0,0,1,94.064,11,0
0,3,3,3,0,0,1,102.089,5,0
0,2,4,3,0,1,0,110.003,3,0
0,2,1,2,4,0,3,124.979,11,0
0,2,4,4,1,0,1,129.796,2,0
0,2,4,4,0,0,1,128.04,11,0
0,0,2,4,0,0,1,180.449,11,0
0,3,3,3,0,0,3,101.925,11,0
0,2,1,2,2,0,1,132.023,11,0
0,4,3,2,0,0,3,124.927,3,0
0,2,4,4,0,0,2,119.006,11,0
0,3,2,3,3,0,2,104.036,11,0
0,4,2,3,1,0,0,132.017,11,0
0,3,2,3,1,0,1,133.105,2,0
0,2,3,4,1,0,0,128.278,5,0
0,3,2,3,2,0,1,105.011,2,0
0,3,3,3,0,0,2,111.034,2,0
0,3,1,1,1,0,0,96.985,11,0
0,4,2,2,1,0,0,80.009,2,0
0,4,2,3,1,0,1,140.05,2,0
0,3,4,4,0,0,0,125.017,3,0
0,3,4,3,0,0,2,127.988,11,0
0,4,4,4,0,0,4,127.968,11,0
0,3,2,3,0,0,2,124.026,11,0
0,2,4,2,0,0,0,125.987,2,0
0,4,1,2,0,0,1,95.987,11,0
0,2,3,3,0,0,2,114.886,11,0
0,0,2,3,0,0,1,145.686,11,0
0,2,3,3,2,0,0,133.036,2,0
0,3,3,3,0,0,2,126.969,3,0
0,2,2,2,3,0,1,121.991,1,0
0,3,3,3,0,0,1,131.001,4,0
0,2,3,3,0,0,1,96.107,11,0
0,2,4,4,0,0,1,128.006,11,0
0,3,2,2,0,0,2,123.948,11,0
0,3,3,3,0,0,3,131.947,2,0
0,2,2,2,0,0,1,143.008,11,0
0,3,3,3,0,0,2,124.029,11,0
0,3,3,3,2,0,1,149.926,11,0
0,2,3,3,0,0,2,128.033,11,0
0,3,2,3,0,0,1,132.141,11,0
0,2,3,3,1,0,2,129.815,5,0
0,3,4,4,0,0,4,123.97,11,0
0,3,3,3,2,0,2,105.974,11,0
0,2,3,3,0,1,0,166.009,3,0
0,2,1,2,2,0,1,132.023,11,0
0,4,2,3,1,0,2,132.96,11,0
0,3,3,3,0,0,3,98.97,2,0
0,4,2,3,0,0,3,105.001,9,0
0,2,3,3,0,0,1,141.872,11,0
0,2,3,3,1,0,2,138.064,11,0
0,2,2,3,2,0,1,152.069,11,0
0,3,2,2,0,0,1,134.044,11,0
0,2,3,3,0,0,0,106.672,2,0
0,2,3,3,0,0,2,123.994,11,0
0,3,3,3,1,0,2,105.949,3,0
0,3,3,3,2,0,4,106.999,11,0
0,1,2,3,1,0,0,129.996,5,0
0,3,3,3,1,0,0,118.006,11,0
0,3,0,1,4,0,2,65.038,11,0
0,3,2,4,1,0,1,124.033,2,0
0,2,3,3,0,0,2,129.931,5,0
0,4,2,4,1,0,4,144.981,11,0
0,3,3,3,0,0,0,125.905,11,0
0,2,2,3,3,0,0,94.467,11,0
0,3,1,1,1,0,2,126.977,5,0
0,3,4,3,0,0,2,130.069,11,0
0,3,3,3,0,0,3,118.032,11,0
0,3,0,1,3,0,1,82.029,11,0
0,2,3,3,1,0,1,137.777,5,0
0,3,3,3,3,0,3,131.951,11,0
0,3,3,3,1,0,4,114.996,11,0
0,1,0,2,2,0,0,95.979,3,0
0,1,2,3,1,0,1,83.389,2,0
0,2,3,4,0,0,1,74.976,2,0
0,3,2,2,1,0,1,99.889,2,0
0,2,3,3,0,0,1,96.107,11,0
0,2,3,3,0,0,2,167.785,11,0
0,3,3,3,0,0,2,139.927,2,0
0,2,2,3,4,0,1,101.19,11,0
0,3,2,3,0,0,1,123.942,5,0
0,0,4,3,0,0,1,76.147,11,0
0,2,4,4,0,0,1,128.001,11,0
0,2,3,3,1,0,1,132.001,5,0
0,4,1,2,1,0,0,128.029,2,0
0,2,2,2,0,0,2,102.989,5,0
0,4,3,3,0,0,2,121.985,11,0
0,3,3,3,0,0,2,140.021,11,0
0,1,2,3,1,0,1,83.389,2,0
0,3,3,3,0,0,0,143.953,11,0
0,3,3,3,1,0,3,126.556,11,0
0,3,2,3,0,0,2,122.03,11,0
0,3,4,3,0,0,1,128.027,3,0
0,1,0,1,3,0,0,175.212,1,0
0,3,2,2,0,0,1,150.075,2,0
0,4,2,4,0,0,1,129.981,11,0
0,4,2,4,0,0,2,132.027,11,0
0,3,3,3,0,0,3,120.003,11,0
0,4,1,1,0,0,1,119.974,2,0
0,2,3,3,0,0,1,165.921,11,0
0,4,3,3,1,0,3,140.02,11,0
0,2,3,3,0,0,2,133.722,5,0
0,4,3,3,2,0,2,131.034,11,0
0,1,1,2,0,0,2,119.97,2,0
0,4,2,4,1,0,2,102.038,2,0
0,2,3,3,1,0,0,89.175,5,0
0,3,4,4,0,0,4,104.056,11,0
0,2,3,3,0,0,0,104.993,5,0
0,2,4,3,0,0,2,110.033,11,0
0,3,1,2,0,0,1,131.121,11,0
0,2,2,3,1,0,4,137.308,5,0
0,3,3,3,0,0,0,107.964,11,0
0,3,2,3,0,0,3,135.012,5,0
0,2,4,4,0,0,0,126.002,3,0
0,3,4,4,0,0,3,124.019,11,0
0,3,3,3,2,0,2,139.861,5,0
0,3,3,4,0,0,0,100.012,3,0
0,4,2,2,1,0,2,120.009,11,0
0,3,3,3,0,0,3,122.055,5,0
0,3,2,2,2,0,1,145.044,11,0
0,4,2,3,1,0,3,100.006,2,0
0,3,3,3,1,0,3,127.978,11,0
0,2,3,3,1,0,3,173.93,11,0
0,2,4,4,0,0,2,106.128,2,0
0,3,1,2,1,0,2,102.915,11,0
0,2,4,3,0,0,4,159.938,2,0
0,2,3,4,1,0,3,90.404,2,0
0,3,3,3,0,0,1,127.03,2,0
0,0,0,2,4,0,1,99.796,11,0
0,4,1,2,1,0,1,115.933,11,0
0,3,2,2,0,0,2,83.037,2,0
0,2,3,2,1,0,0,211.842,11,0
0,3,3,2,0,0,3,121.839,11,0
0,4,3,4,0,0,1,130.008,11,0
0,3,2,2,0,0,2,129.096,5,0
0,2,4,4,0,0,1,92.722,11,0
0,3,4,4,0,0,2,122.943,11,0
0,4,4,4,0,0,4,122.98,11,0
0,2,3,3,1,0,1,124.169,5,0
0,3,3,3,0,0,0,107.074,2,0
0,3,3,3,2,0,1,116.032,11,0
0,3,2,2,0,0,1,125.091,2,0
0,3,3,3,0,0,3,115.042,11,0
0,3,3,3,0,0,2,149.005,11,0
0,0,3,3,0,0,1,179.85,11,0
0,3,3,3,1,0,4,74.992,11,0
0,2,2,2,0,0,2,153.15,11,0
0,3,3,4,1,0,2,119.986,11,0
0,3,3,3,1,0,4,114.996,11,0
0,2,2,2,0,0,1,143.008,11,0
0,2,4,4,0,0,1,144.997,3,0
0,3,4,4,0,0,0,124.033,3,0
0,4,3,3,0,0,2,92.005,2,0
0,3,3,1,0,0,0,130.885,2,0
0,2,3,3,0,0,1,96.107,11,0
0,3,2,3,1,0,3,149.989,11,0
0,3,3,3,1,0,1,125.893,3,0
0,2,4,4,0,0,3,148.006,11,0
0,1,4,3,0,0,1,127.981,11,0
0,1,3,4,1,0,0,150.398,2,0
0,3,3,3,0,0,1,89.979,2,0
0,4,3,2,0,0,3,124.992,11,0
0,3,3,3,2,0,4,106.999,11,0
0,4,2,3,1,0,2,140.024,2,0
0,1,4,3,0,0,1,89.273,11,0
0,4,2,3,2,0,3,141.963,11,0
0,3,3,3,0,0,2,127.027,11,0
0,2,3,3,0,0,0,127.959,2,0
0,3,4,3,0,0,0,139.742,5,0
0,4,2,4,1,0,3,140.083,2,0
0,4,3,3,3,0,4,124.98,11,0
0,2,4,4,0,0,1,128.04,11,0
0,3,2,3,0,0,1,124.041,5,0
0,4,3,3,3,0,4,124.98,11,0
0,3,2,2,2,0,1,145.044,11,0
0,3,2,2,2,0,1,149.943,2,0
0,4,1,3,2,0,2,136.111,11,0
0,3,3,3,0,0,4,115.933,3,0
0,2,4,3,0,1,0,126.016,3,0
0,2,3,3,0,0,2,89.993,5,0
0,3,3,3,0,0,3,115.042,11,0
0,3,3,3,0,0,2,120.961,11,0
0,3,3,3,0,0,4,127.972,5,0
0,1,2,4,0,0,0,100.042,2,0
0,3,4,3,0,0,3,124.974,3,0
0,2,4,3,1,0,2,114.963,5,0
0,3,3,2,0,0,1,127.002,3,0
0,2,4,3,0,0,2,128.006,11,0
0,3,3,3,0,0,2,117.953,11,0
0,2,2,3,4,0,1,101.19,11,0
0,2,3,3,2,0,3,78.748,11,0
0,2,3,3,0,0,0,129.527,5,0
0,4,3,3,0,0,3,124.974,11,0
0,2,2,3,3,0,0,94.467,11,0
0,1,3,2,1,1,2,95.967,6,0
0,3,4,3,0,0,1,121.03,3,0
0,3,2,2,1,0,2,115.993,11,0
0,4,2,3,1,0,1,120.016,11,0
0,1,3,4,0,1,1,180.057,3,0
0,1,2,3,1,0,2,110.933,11,0
0,3,2,3,0,0,3,134.068,11,0
0,3,1,3,0,0,3,83.058,2,0
0,3,3,3,0,0,1,120.062,11,0
0,3,2,3,0,0,2,104.023,11,0
0,2,3,3,0,0,2,88.98,11,0
0,3,3,3,0,0,3,118.032,11,0
0,3,3,4,1,0,3,79.999,11,0
0,3,3,3,0,0,3,143.016,11,0
0,1,2,2,0,0,0,150.187,2,0
0,3,3,3,0,0,2,125.996,11,0
0,4,2,2,0,0,1,140.016,2,0
